Distance_(pixels),Высота__у.е
0,175.750
1,179.451
2,182.861
3,185.124
4,187.879
5,193.848
6,197.182
7,201.545
8,204.123
9,206.328
10,207.152
11,208.919
12,209.811
13,210.671
14,212.590
15,214.310
16,214.887
17,217.340
18,218.713
19,219.827
20,220.000
21,220.676
22,219.948
23,215.822
24,210.161
25,199.189
26,193.349
27,187.684
28,179.172
29,171.525
30,164.927
31,159.316
32,155.197
33,146.299
34,138.583
35,130.258
36,125.148
37,119.417
38,111.472
39,105.171
40,94.016
41,81.964
42,73.008
43,69.867
44,69.000
45,70.098
46,79.417
47,85.035
48,90.906
49,95.354
50,98.622
51,106.016
52,112.914
53,118.679
54,120.214
55,123.228
56,128.011
57,131.890
58,134.829
59,138.012
60,141.151
61,144.361
62,146.314
63,150.085
64,153.178
65,154.943
66,158.144
67,160.120
68,163.653
69,168.659
70,172.898
71,176.978
72,180.209
73,183.676
74,187.197
75,189.893
76,190.000
77,190.666
78,190.138
79,189.926
80,193.447
81,199.113
82,200.558
83,201.268
84,202.094
85,201.913
86,201.325
87,200.602
88,199.365
89,193.693
90,190.033
91,184.003
92,174.156
93,165.304
94,154.948
95,148.793
96,142.496
97,136.766
98,128.653
99,120.771
100,111.372
101,101.558
102,89.518
103,81.562
104,77.546
105,71.197
106,66.076
107,61.898
108,61.296
109,63.383
110,67.079
111,71.770
112,76.259
113,79.995
114,85.035
115,90.512
116,95.753
117,104.041
118,116.682
119,120.419
120,122.572
121,127.363
122,131.167
123,135.955
124,139.430
125,140.682
126,142.005
127,144.842
128,145.511
129,145.000
130,145.440
131,146.948
132,151.276
133,154.392
134,156.000
135,156.661
136,157.499
137,159.223
138,163.499
139,168.936
140,172.451
141,176.122
142,178.918
143,182.042
144,185.410
145,188.158
146,188.945
147,189.624
148,185.693
149,179.825
150,176.527
151,171.957
152,167.239
153,162.151
154,154.509
155,149.422
156,142.651
157,131.612
158,119.180
159,114.070
160,111.069
161,99.147
162,93.535
163,85.521
164,76.227
165,67.172
166,58.783
167,51.584
168,44.369
169,42.691
170,51.922
171,60.652
172,63.237
173,64.157
174,65.000
175,67.101
176,72.912
177,79.317
178,88.287
179,94.704
180,99.648
181,104.987
182,108.751
183,115.250
184,120.476
185,125.932
186,129.381
187,131.820
188,133.046
189,133.906
190,134.861
191,136.234
192,138.514
193,143.661
194,147.637
195,154.182
196,157.935
197,159.618
198,163.631
199,165.140
200,164.768
201,163.002
202,159.087
203,157.178
204,159.008
205,162.473
206,162.277
207,160.992
208,157.150
209,150.240
210,145.228
211,140.425
212,139.789
213,137.362
214,131.227
215,121.189
216,114.778
217,102.757
218,92.721
219,90.008
220,90.186
221,89.011
222,88.721
223,86.751
224,84.489
225,78.169
226,74.667
227,68.988
228,61.270
229,50.285
230,41.927
231,41.154
232,46.511
233,52.315
234,56.941
235,62.822
236,67.927
237,71.511
238,73.281
239,75.809
240,78.027
241,83.186
242,87.150
243,90.992
244,94.528
